0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
16,124,125,126,127,158,17,17,17,17,17,17,17,17,17,18
16,140,140,140,140,140,17,17,17,17,17,17,17,17,17,18
16,156,157,158,159,159,17,17,17,17,17,17,17,17,17,18
16,140,140,140,140,140,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18
32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34
